pointId,trip_id,previous_point,next_point,latitude,longitude,horizontal_accuracy,bearing,bearing_accuracy,elapsed_time,elapsed_time_uncertainty,speed,speed_accuracy,likelihood_score,time delta (s),expected distance,delta Lat (m),exp del lat,delta Long (m),exp del long,expected lat,expected long,lat dif,lon dif,lat dif (m),lon dif (m),error (m),111084.744024676,82079.5722664617
194,3,193,0,42.5945278,-83.0882337,21.4839992523193,44.7761383056641,44.7761383056641,149126630848754,0,1.69850397109985,0,0,1.018701562,1.73026864842262,2.5327321642,1.2186950622,-1.6662153172,1.22825564976795,42.5945388,-83.0882187,0.0000110,0.0000150,1.2186951,1.22825565014067,1.73026864882713,,
195,3,194,0,42.5945034,-83.0882263,20.3010005950928,86.52001953125,86.52001953125,149128367000000,0,0.097757749259472,0,0,1.736151246,0.169722238182988,-2.7104677543,0.1694092820,0.6073888349,0.010302102653637,42.5945049,-83.0882262,0.0000015,0.0000001,0.1694093,0.010302102124304,0.169722237844637,,
196,3,195,0,42.5944958,-83.0882299,17.746000289917,174.649169921875,174.649169921875,149130630978649,0,0.000213613369851,0,0,2.263978649,0.000483616108484,-0.8442440550,0.0000450991,-0.2954864601,-0.000481508683385,42.5944958,-83.0882299,0.0000000,0.0000000,0.0000451,-0.000481509035634,0.000483616477086,,
197,3,196,0,42.5944934,-83.0882307,18.121000289917,249.581436157227,249.581436157227,149132639103908,0,0.000168126542121,0,0,2.008125259,0.000337619155942,-0.2666033856,-0.0003164062,-0.0656636574,-0.00011778712225,42.5944934,-83.0882307,0.0000000,0.0000000,-0.0003164,-0.000117787512957,0.000337619246349,,
198,3,197,0,42.5944914,-83.088231,18.6599998474121,267.773895263672,267.773895263672,149134634486981,0,0.000141773140058,0,0,1.995383073,0.000282891723878,-0.2221694875,-0.0002826782,-0.0246238714,-1.09883866713854E-05,42.5944914,-83.0882310,0.0000000,0.0000000,-0.0002827,-1.09888510781152E-05,0.000282891894668,,
199,3,198,0,42.5944895,-83.0882308,18.9349994659424,96.0675201416016,96.0675201416016,149136632819636,0,5.5278156651184E-05,0,0,1.998332655,0.000110464145544,-0.2110610137,0.0001098453,0.0164159135,-1.167610255051E-05,42.5944895,-83.0882308,0.0000000,0.0000000,0.0001098,-1.16758729744118E-05,0.000110463944663,,
200,3,199,0,42.5944835,-83.0882269,18.9230003356934,140.29606628418,140.29606628418,149138627521250,0,0.157743021845818,0,0,1.994701614,0.31465026027309,-0.6665084640,0.2010050807,0.3201103327,-0.242077970556363,42.5944853,-83.0882298,0.0000018,-0.0000029,0.2010051,-0.242077970436794,0.31465026026474,,
201,3,200,0,42.5944766,-83.0882229,18.8899993896484,153.565719604492,153.565719604492,149140633951926,0,0.560116171836853,0,0,2.006430676,1.12383426929715,-0.7664847340,0.5002984357,0.3283182882,-1.00633242026463,42.5944811,-83.0882352,0.0000045,-0.0000123,0.5002984,-1.00633241999759,1.12383426914858,,
202,3,201,0,42.5944689,-83.0882175,19.0249996185303,147.066711425781,147.066711425781,149141888000000,0,0.569758355617523,0,0,1.254048074,0.714504368507562,-0.8553525287,0.3884489979,0.4432296908,-0.599686475309675,42.5944724,-83.0882248,0.0000035,-0.0000073,0.3884490,-0.599686474925098,0.714504368311356,,
203,3,202,0,42.5944607,-83.0882137,19.363000869751,179.909301757813,179.909301757813,149143626000000,0,0.563141763210297,0,0,1.738,0.978740384459496,-0.9108949014,0.0015493287,0.3119023748,-0.978739158178784,42.5944607,-83.0882256,0.0000000,-0.0000119,0.0015493,-0.978739158327849,0.978740384607977,,
